"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,28.6102294921875
21.147138610534,28.6102294921875
22.3600735706569,28.6102294921875
23.6425787570209,28.6102294921875
24.9986445042594,28.6102294921875
26.4324900203518,28.6102294921875
27.9485765140968,28.6102294921875
29.551621075536,28.6102294921875
31.2466113525169,28.6102294921875
33.0388210690579,28.6102294921875
34.9338264338,38.14697265625
36.9375234895952,38.14697265625
39.0561464582162,38.14697265625
41.2962871372607,38.14697265625
43.6649154096032,47.6837158203125
46.169400929206,47.6837158203125
48.8175360507618,47.6837158203125
51.61756007451,47.6837158203125
54.5781848816614,57.220458984375
57.7086220401922,57.220458984375
61.018611465343,57.220458984375
64.5184517239963,66.7572021484375
68.2190320772198,66.7572021484375
72.1318663606716,76.2939453125
76.2691288082817,76.2939453125
80.6436919306702,76.2939453125
85.2691665661542,85.8306884765625
90.1599442289587,85.8306884765625
95.3312418863901,95.367431640625
100.799149304292,104.904174804687
106.580679108088,104.904174804687
112.693819715179,114.44091796875
119.157591303371,114.44091796875
125.992104989488,123.977661132812
133.218625402282,133.514404296875
140.859636844343,143.051147460938
148.93891324884,152.587890625
157.481592148776,162.124633789062
166.514252888888,162.124633789062
176.064999323541,171.661376953125
186.163547257924,190.73486328125
196.841316904601,200.271606445312
208.131530643082,209.808349609375
220.069316386593,219.345092773438
232.691816877637,228.8818359375
246.038305252419,247.955322265625
260.150307233689,257.492065429687
275.071730332191,276.565551757813
290.849000458714,286.102294921875
307.531206371784,305.17578125
325.170252410442,324.249267578125
343.821019987297,343.32275390625
363.541538344328,362.396240234375
384.393165102713,381.4697265625
406.440777168447,410.079956054688
429.752972587715,429.153442382812
454.402283980071,457.763671875
480.465404213489,476.837158203125
508.023425023445,505.447387695313
537.162089318451,534.0576171875
567.972057957066,572.20458984375
600.549191826415,600.814819335938
634.994850099868,638.961730957031
671.416205601858,667.572021484375
709.926578261064,705.718994140625
750.645787689441,753.402648925781
793.700525984104,791.549621582031
839.224751911979,839.2333984375
887.360107703681,886.917114257812
938.256359753405,934.600830078125
992.071864596015,991.8212890625
1048.97406161114,1049.04174804687
1109.13999398728,1106.26220703125
1172.75685956679,1173.01928710937
1240.02259328568,1239.77661132812
1311.1464830203,1306.53381347656
1386.34982075722,1382.82775878906
1465.86659111209,1468.65844726563
1549.94419933992,1554.48913574219
1638.84424110172,1640.31982421875
1732.84331638267,1735.68713378906
1832.23389009409,1831.0546875
1937.32520203688,1935.95886230469
2048.44422905773,2050.39990234375
2165.93670239161,2164.8408203125
2290.16818335592,2288.818359375
2421.52520074312,2422.33251953125
2560.4164534508,2555.84692382812
2707.27408209079,2708.43481445312
2862.55501353401,2861.02270507812
3026.74238257413,3023.1474609375
3200.34703513365,3204.345703125
3383.90911768914,3385.5439453125
3577.9997578611,3576.27880859375
3783.22284139728,3786.0869140625
4000.21689107833,3995.8955078125
4229.65705339164,4234.3134765625
4472.25719915479,4472.732421875
4728.77214462424,4730.224609375
5000.00000000004,4997.25341796875

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)"
20,177.186508178711
21.147138610534,177.259262084961
22.3600735706569,176.873626708984
23.6425787570209,176.577987670898
24.9986445042594,176.824691772461
26.4324900203518,176.684585571289
27.9485765140968,175.848480224609
29.551621075536,176.438659667969
31.2466113525169,175.678924560547
33.0388210690579,174.470748901367
34.9338264338,174.725372314453
36.9375234895952,170.836990356445
39.0561464582162,168.298828125
41.2962871372607,165.514312744141
43.6649154096032,162.594146728516
46.169400929206,158.648590087891
48.8175360507618,173.383071899414
51.61756007451,-147.412551879883
54.5781848816614,-155.98161315918
57.7086220401922,-161.380844116211
61.018611465343,-164.127136230469
64.5184517239963,-167.097412109375
68.2190320772198,-168.784545898437
72.1318663606716,-170.695098876953
76.2691288082817,-171.806579589844
80.6436919306702,-173.174423217773
85.2691665661542,-174.066452026367
90.1599442289587,-174.616760253906
95.3312418863901,-175.09700012207
100.799149304292,-175.49560546875
106.580679108088,-175.808532714844
112.693819715179,-176.41162109375
119.157591303371,-176.680953979492
125.992104989488,-177.084487915039
133.218625402282,-177.149124145508
140.859636844343,-177.279083251953
148.93891324884,-177.621047973633
157.481592148776,-177.7890625
166.514252888888,-177.935913085937
176.064999323541,-178.075393676758
186.163547257924,-178.199798583984
196.841316904601,-178.316711425781
208.131530643082,-178.422332763672
220.069316386593,-178.522033691406
232.691816877637,-178.61408996582
246.038305252419,-178.701156616211
260.150307233689,-178.780868530273
275.071730332191,-178.856689453125
290.849000458714,-178.928039550781
307.531206371784,-178.994293212891
325.170252410442,-179.056671142578
343.821019987297,-179.115570068359
363.541538344328,-179.171508789062
384.393165102713,-179.224212646484
406.440777168447,-179.273971557617
429.752972587715,-179.321746826172
454.402283980071,-179.366882324219
480.465404213489,-179.409881591797
508.023425023445,-179.450592041016
537.162089318451,-179.489700317383
567.972057957066,-179.526947021484
600.549191826415,-179.562683105469
634.994850099868,-179.597213745117
671.416205601858,-179.630157470703
709.926578261064,-179.661804199219
750.645787689441,-179.69270324707
793.700525984104,-179.722305297852
839.224751911979,-179.751098632813
887.360107703681,-179.779144287109
938.256359753405,-179.80647277832
992.071864596015,-179.833389282227
1048.97406161114,-179.859390258789
